sequence_id,cache_sequence_id,scheduled_time_ns,call_start_ns,call_end_ns,query_latency_ms,host_call_start_monotonic_ns,host_call_end_monotonic_ns,latency_ms,success,error_code,error_message,robot_state_at_call,robot_operation_state,latest_rt_sequence,latest_rt_timestamp,latest_rt_timestamp_ns,latest_rt_age_ms,rt_sequence_after_call,rt_updates_during_call,previous_success_latency_ms,time_since_last_success_ms,cartesian_force_raw_n,cartesian_torque_raw_nm,joint_measured_torque_nm,joint_external_torque_nm
2703,2703,3116446175888400,3116446180740000,3116446181973300,1.2333,3116446180740000,3116446181973300,1.2333,True,,,IDLE,IDLE,16822,3116446.1729643,3116446172964300,7.848899811506271,16822,0,1.4568,47.5643,"[-3.612901140057523, -4.303089311546721, -8.038164122792594]","[2.540338539008049, -0.4520988761154763, 0.8310177362266385]","[0.989333333333343, -76.51614243072531, 18.81687887629309, 2.9918743314992837, -0.04522890945165381, 0.822624050256902]","[0.9893333333333377, -3.737184467951849, 3.6243613834592914, 0.9154502239777775, -0.03980391426644861, 0.822619923839103]"
2704,2704,3116446225888400,3116446236791500,3116446238195200,1.4037,3116446236791500,3116446238195200,1.4037,True,,,IDLE,IDLE,16829,3116446.2290999,3116446229099900,7.7713001519441605,16829,0,1.2333,56.2219,"[-4.981478609070898, -4.937421739567263, -9.303000179857117]","[2.905092921779155, -0.6748456305921559, 0.6121389888425806]","[1.3448888888888986, -76.8961676792742, 19.727871314558943, 2.9414772267314597, 0.002086171376766406, 0.6040361990900106]","[1.344888888888896, -4.117173981744642, 4.535366497741835, 0.8650548740635906, 0.007510400035672481, 0.6040320713924239]"
2705,2705,3116446275888400,3116446277170900,3116446278541600,1.3707,3116446277170900,3116446278541600,1.3707,True,,,IDLE,IDLE,16834,3116446.2689223,3116446268922300,8.312199730426073,16834,0,1.4037,40.3464,"[-5.642398714980387, -4.877639884127783, -8.907081967992225]","[3.046851484013505, -0.7857738496918728, 0.8304043071933583]","[0.989333333333343, -76.51614243072531, 19.93031407861802, 3.143065645802756, 0.025743711790976516, 0.822624050256902]","[0.9893333333333413, -3.7371672823579587, 4.737803605577593, 1.0666424329847488, 0.031168181562681325, 0.8226199230521744]"
2706,2706,3116446325888400,3116446333060100,3116446334369400,1.3093,3116446333060100,3116446334369400,1.3093,True,,,IDLE,IDLE,16841,3116446.3252233,3116446325223300,7.890699896961451,16841,0,1.3707,55.8278,"[-2.7660533217014485, -5.6575782268561055, -8.383391734892438]","[1.629594383894779, -0.3336895041256356, 0.8276144657807931]","[1.878222222222232, -76.8961676792742, 18.51321473020447, 3.3446540648740526, -0.04522890945165381, 0.822624050256902]","[1.8782222222222285, -4.117174772663077, 3.32071070430524, 1.2682317517746102, -0.039804392335768934, 0.8226199231239764]"
2707,2707,3116446375888400,3116446388875300,3116446389778800,0.9035,3116446388875300,3116446389778800,0.9035,True,,,IDLE,IDLE,16848,3116446.3808926,3116446380892600,8.012600243091583,16848,0,1.3093,55.4094,"[-3.3506976252401373, -4.13762349179631, -7.792989876360601]","[1.9264468753200645, -0.34115258696853973, 0.7804358586727465]","[0.989333333333343, -76.51614243072531, 18.71565749426355, 3.143065645802756, -0.11620153069428414, 0.774048972219815]","[0.9893333333333398, -3.7371390541882334, 3.523167203821531, 1.0666452698165916, -0.11077754058822102, 0.7740448441773261]"
2708,2708,3116446425888400,3116446428725900,3116446429765500,1.0396,3116446428725900,3116446429765500,1.0396,True,,,IDLE,IDLE,16853,3116446.4207965,3116446420796500,7.968800142407417,16853,0,0.9035,39.9867,"[-4.980023918885202, -5.283214793145959, -9.3459840586066]","[2.8905389875775898, -0.8888361812036889, 0.8043778348078388]","[1.3448888888888986, -76.70615505499975, 19.525428550499864, 3.143065645802756, 0.21500403510465738, 0.7983365112383585]","[1.3448888888888972, -3.9271355191521025, 4.332922100747293, 1.06664311617252, 0.22042859786349864, 0.7983323840405268]"
2709,2709,3116446475888400,3116446477107800,3116446478322600,1.2148,3116446477107800,3116446478322600,1.2148,True,,,IDLE,IDLE,16859,3116446.468888,3116446468888000,8.278799708932638,16859,0,1.0396,48.5571,"[-4.870976272183093, -5.495307703889227, -10.829223498940094]","[2.628954908218632, -0.9655265778438915, 0.5837659695061526]","[1.700444444444454, -77.46620555209752, 19.727871314558943, 3.143065645802756, 0.3096341967614978, 0.5797486600714671]","[1.7004444444444502, -4.687204565409843, 4.535359208583138, 1.0666422560223756, 0.3150590006331382, 0.5797445333664946]"
2710,2710,3116446525888400,3116446532975200,3116446534615500,1.6403,3116446532975200,3116446534615500,1.6403,True,,,IDLE,IDLE,16866,3116446.5251133,3116446525113300,7.9521001316607,16866,0,1.2148,56.2929,"[-3.9162070169689858, -4.8876517777076245, -9.776507947466145]","[1.7242717925462407, -0.6474986176698032, 0.7522824806697452]","[1.3448888888888986, -77.27619292782308, 19.221764404411246, 3.445448274409701, 0.12037387344781694, 0.7497614332012715]","[1.3448888888888946, -4.497199734463308, 4.029260091763296, 1.36902596395867, 0.1257986773719072, 0.7497573065033356]"
2711,2711,3116446575888400,3116446580962700,3116446582997500,2.0348,3116446580962700,3116446582997500,2.0348,True,,,IDLE,IDLE,16872,3116446.5731161,3116446573116100,8.517100010067225,16873,1,1.6403,48.382,"[-3.7325307535969547, -5.204851065329307, -9.126044675115187]","[2.0214659504465295, -0.4846834608430986, 0.7795664893883082]","[1.5226666666666764, -77.08618030354864, 19.120543022381707, 3.2942569601062286, -0.0215713690374437, 0.774048972219815]","[1.5226666666666706, -4.307170950881243, 3.9280225504261495, 1.2178324960116016, -0.01614599246057389, 0.7740448463665364]"
2712,2712,3116446625888400,3116446636728000,3116446637983800,1.2558,3116446636728000,3116446637983800,1.2558,True,,,IDLE,IDLE,16879,3116446.62899,3116446628990000,7.80220003798604,16879,0,2.0348,54.9863,"[-4.034446893904429, -5.564541035069132, -8.643332509399725]","[2.278116454429046, -0.7612353842124667, 0.7539629512856789]","[1.700444444444454, -76.51614243072531, 18.918100258322628, 3.1934627505705806, 0.21500403510465738, 0.7497614332012715]","[1.7004444444444522, -3.7371317149093244, 3.7255784232189892, 1.1170382517816297, 0.22042969555285932, 0.749757307636438]"
2713,2713,3116446675888400,3116446677124700,3116446678261400,1.1367,3116446677124700,3116446678261400,1.1367,True,,,IDLE,IDLE,16884,3116446.668937,3116446668937000,8.223600219935179,16884,0,1.2558,40.2776,"[-6.019872707567647, -4.813542491882451, -8.807013192968084]","[3.6635660574683353, -0.8864459488498307, 0.7353637204947087]","[0.989333333333343, -76.32612980645088, 20.03153546064756, 2.8406830171958113, 0.07305879261939673, 0.7254738941827281]","[0.9893333333333373, -3.547120453783478, 4.8390149886920035, 0.7642585531011843, 0.07848416919626654, 0.7254697683294495]"
2714,2714,3116446725888400,3116446732791700,3116446734140800,1.3491,3116446732791700,3116446734140800,1.3491,True,,,IDLE,IDLE,16891,3116446.7251305,3116446725130500,7.710000034421682,16891,0,1.1367,55.8794,"[-3.7932247335219165, -5.729582951237474, -8.722070925452872]","[2.125562094540859, -0.6337852669510539, 0.7058194843257943]","[1.878222222222232, -76.70615505499975, 18.918100258322628, 3.1934627505705806, 0.12037387344781694, 0.7011863551641846]","[1.8782222222222273, -3.927154354638418, 3.72558843867321, 1.1170393582827067, 0.12579839094061715, 0.7011822280298466]"
2715,2715,3116446775888400,3116446789211600,3116446790983300,1.7717,3116446789211600,3116446790983300,1.7717,True,,,IDLE,IDLE,16898,3116446.7808157,3116446780815700,8.492599707096815,16898,0,1.3491,56.8425,"[-4.3845629128803285, -4.931336075049237, -10.103815853741018]","[1.464426991881947, -0.6093760839736748, 0.7027748455381155]","[1.3448888888888986, -77.46620555209752, 19.626649932529403, 3.596639588713174, 0.025743711790976516, 0.7011863551641846]","[1.3448888888888957, -4.687196485756459, 4.434129746900233, 1.5202151221110527, 0.03116880198900697, 0.7011822288815407]"
2716,2716,3116446825888400,3116446828808500,3116446830050600,1.2421,3116446828808500,3116446830050600,1.2421,True,,,IDLE,IDLE,16903,3116446.8209307,3116446820930700,7.965800352394581,16903,0,1.7717,39.0673,"[-3.0503659302497046, -4.881202439162912, -9.234571692678871]","[2.3413848464791194, -0.5903906491579622, 0.7072951368838836]","[1.5226666666666764, -77.08618030354864, 18.61443611223401, 2.9918743314992837, 0.16768895427623715, 0.7011863551641846]","[1.5226666666666735, -4.307145685638432, 3.421914580418372, 0.9154496852864016, 0.17311409176599732, 0.7011822289463059]"
2717,2717,3116446875888400,3116446900711600,3116446901912200,1.2006,3116446900711600,3116446901912200,1.2006,True,,,IDLE,IDLE,16912,3116446.8927851,3116446892785100,8.023800328373909,16912,0,1.2421,71.8616,"[-3.329087296548856, -5.093079755050563, -8.041883200148492]","[1.9529914844315606, -0.29027942027711556, 0.7810456688260133]","[1.5226666666666764, -76.70615505499975, 18.81687887629309, 3.1934627505705806, -0.16351661152270436, 0.774048972219815]","[1.5226666666666753, -3.927154305370806, 3.624342801991542, 1.117036272311398, -0.15809099975923002, 0.7740448465592686]"
2718,2718,3116446925888400,3116446932708300,3116446933964300,1.256,3116446932708300,3116446933964300,1.256,True,,,IDLE,IDLE,16916,3116446.9248112,3116446924811200,7.952500134706497,16916,0,1.2006,32.0521,"[-4.803866438443338, -5.424205269648511, -8.979240299094755]","[2.7571754502571366, -0.6984045281343167, 0.7326339954973217]","[1.5226666666666764, -76.70615505499975, 19.525428550499864, 3.092668541034932, 0.04940125220518662, 0.7254738941827281]","[1.522666666666674, -3.9271543049484734, 4.33289247577599, 1.0162420629166702, 0.054826864398026164, 0.7254697685278065]"
2719,2719,3116446975888400,3116446980826500,3116446981784400,0.9579,3116446980826500,3116446981784400,0.9579,True,,,IDLE,IDLE,16922,3116446.9727904,3116446972790400,8.072800002992153,16922,0,1.256,47.8201,"[-5.658296764503632, -5.206088476731226, -8.366259987400477]","[3.2531707668528442, -0.670855349123203, 0.8325014250374427]","[1.1671111111111208, -76.32612980645088, 19.93031407861802, 3.0422714362671077, -0.09254399028007403, 0.822624050256902]","[1.167111111111118, -3.5471288201855202, 4.737801973064544, 0.9658480463458066, -0.08711918683779893, 0.822619923546305]"
2720,2720,3116447025888400,3116447029065800,3116447030119600,1.0538,3116447029065800,3116447030119600,1.0538,True,,,IDLE,IDLE,16928,3116447.0211454,3116447021145400,7.950199767947197,16928,0,0.9579,48.3352,"[-4.967287492639498, -6.105810852371535, -7.903040800848869]","[2.122400162113183, -0.6637967546644123, 0.7298130084209666]","[1.878222222222232, -76.13611718217643, 19.424207168470325, 3.3446540648740526, 0.002086171376766406, 0.7254738941827281]","[1.8782222222222282, -3.357133668251521, 4.231688329872322, 1.2682297776008573, 0.007511213424335994, 0.7254697678240699]"
2721,2721,3116447075888400,3116447084729800,3116447086036200,1.3064,3116447084729800,3116447086036200,1.3064,True,,,IDLE,IDLE,16935,3116447.0771563,3116447077156300,7.709600031375885,16935,0,1.0538,55.9166,"[-4.6675336373153495, -4.328169370799506, -8.977034082715523]","[1.7431825566859962, -0.7189967152168854, 0.6788412405896548]","[0.989333333333343, -76.70615505499975, 19.424207168470325, 3.395051169641877, 0.09671633303360683, 0.6768988161456411]","[0.98933333333334, -3.927145988658694, 4.231686982841154, 1.3186267030397558, 0.10214142323163727, 0.6768946898629972]"
2722,2722,3116447125888400,3116447133746400,3116447135932400,2.186,3116447133746400,3116447135932400,2.186,True,,,IDLE,IDLE,16941,3116447.1251949,3116447125194900,8.75909999012947,16941,0,1.3064,49.8962,"[-4.380844852196817, -5.1190958249266, -10.100461293692572]","[1.4476464148035644, -0.6078015452276728, 0.6298400590509319]","[1.5226666666666764, -77.46620555209752, 19.626649932529403, 3.5462424839453495, 0.025743711790976516, 0.6283237381085541]","[1.5226666666666722, -4.687206164772249, 4.434115220531064, 1.4698160406624177, 0.03116904054185107, 0.6283196121708124]"
2723,2723,3116447175888400,3116447180915000,3116447182635900,1.7209,3116447180915000,3116447182635900,1.7209,True,,,IDLE,IDLE,16947,3116447.1731242,3116447173124200,7.894399575889111,16947,0,2.186,46.7035,"[-4.194815791016027, -6.080052336950794, -8.916241124540162]","[2.347065481084326, -0.5206547918973008, 0.6593974795307711]","[2.05600000000001, -76.8961676792742, 19.322985786440785, 3.143065645802756, -0.04522890945165381, 0.6526112771270975]","[2.056000000000007, -4.117150819607048, 4.130457807485518, 1.0666400998715209, -0.03980381930607356, 0.6526071508374169]"
2724,2724,3116447225888400,3116447236952100,3116447238395000,1.4429,3116447236952100,3116447238395000,1.4429,True,,,IDLE,IDLE,16954,3116447.2291706,3116447229170600,7.889400236308575,16954,0,1.7209,55.7591,"[-4.029970068035091, -5.482391086412955, -9.175848910676127]","[2.850054723659591, -0.6718653131649156, 0.7090526355789147]","[1.700444444444454, -76.8961676792742, 19.120543022381707, 2.9414772267314597, 0.12037387344781694, 0.7011863551641846]","[1.7004444444444498, -4.117176085274323, 3.9280161037087318, 0.8650518627775443, 0.12579920225114175, 0.7011822292334796]"
2725,2725,3116447275888400,3116447285401800,3116447287020300,1.6185,3116447285401800,3116447287020300,1.6185,True,,,IDLE,IDLE,16960,3116447.2770738,3116447277073800,8.430900052189827,16960,0,1.4429,48.6253,"[-4.67884370079512, -5.431922959946504, -9.57021659408908]","[2.618064319438945, -0.6580265059000548, 0.7566086908107243]","[1.5226666666666764, -77.08618030354864, 19.626649932529403, 3.1934627505705806, 0.025743711790976516, 0.7497614332012715]","[1.5226666666666717, -4.307169923756035, 4.434152638831383, 1.117041335105057, 0.031167991160297025, 0.7497573057276558]"
2726,2726,3116447325888400,3116447333296400,3116447335161600,1.8652,3116447333296400,3116447335161600,1.8652,True,,,IDLE,IDLE,16966,3116447.325185,3116447325185000,8.361400105059147,16966,0,1.6185,48.1413,"[-4.2068400629631695, -5.807338222563322, -8.119523638991808]","[2.6118403812530584, -0.6432708517551531, 0.683850311964361]","[1.878222222222232, -76.32612980645088, 19.019321640352167, 2.9918743314992837, 0.07305879261939673, 0.6768988161456411]","[1.878222222222228, -3.547136613091112, 3.8268173277042177, 0.9154520210482526, 0.07848359654348698, 0.6768946894477051]"
2727,2727,3116447375888400,3116447380900800,3116447382521500,1.6207,3116447380900800,3116447382521500,1.6207,True,,,IDLE,IDLE,16972,3116447.3730125,3116447373012500,7.992800325155258,16972,0,1.8652,47.3599,"[-3.08748457255009, -3.6085890960295943, -8.973040046186778]","[1.7955343957627588, -0.4490648771828481, 0.7059131565123916]","[0.8115555555555651, -77.08618030354864, 18.71565749426355, 3.143065645802756, 0.025743711790976516, 0.7011863551641846]","[0.8115555555555632, -4.307187109766545, 3.523153181193271, 1.0666433354926452, 0.03116851614443216, 0.7011822284718732]"
2728,2728,3116447425888400,3116447436845500,3116447438581900,1.7364,3116447436845500,3116447438581900,1.7364,True,,,IDLE,IDLE,16979,3116447.4290184,3116447429018400,8.040699642151594,16979,0,1.6207,56.0604,"[-4.26131784386767, -4.491138914068919, -9.057160021316744]","[2.0729891575609405, -0.788683382683325, 0.6555342168499886]","[1.1671111111111208, -76.70615505499975, 19.120543022381707, 3.1934627505705806, 0.21500403510465738, 0.6526112771270975]","[1.1671111111111159, -3.9271968063222857, 3.928025243643848, 1.117038645415648, 0.2204293162393367, 0.6526071511330395]"
2729,2729,3116447475888400,3116447484796200,3116447486389100,1.5929,3116447484796200,3116447486389100,1.5929,True,,,IDLE,IDLE,16985,3116447.4770465,3116447477046500,7.922099903225899,16985,0,1.7364,47.8072,"[-3.997344603989114, -4.738547356540071, -9.089856374819972]","[2.0223831519105344, -0.6360517109128446, 0.6567100911610056]","[1.3448888888888986, -76.8961676792742, 19.120543022381707, 3.1934627505705806, 0.09671633303360683, 0.6526112771270975]","[1.3448888888888946, -4.117174485914433, 3.928038709733757, 1.1170404401195495, 0.10214113695769708, 0.6526071504291616]"
2730,2730,3116447525888400,3116447533209100,3116447535209100,2.0,3116447533209100,3116447535209100,2.0,True,,,IDLE,IDLE,16991,3116447.5250155,3116447525015500,8.625400252640247,16991,0,1.5929,48.82,"[-2.8050914277155905, -4.990642590367305, -8.721688565977471]","[2.288654644342152, -0.3225788829814685, 0.8066923329005022]","[1.5226666666666764, -77.08618030354864, 18.61443611223401, 3.0422714362671077, -0.06888644986586392, 0.7983365112383585]","[1.5226666666666717, -4.307169923756035, 3.42193881853599, 0.9658500208015841, -0.06346217049654342, 0.7983323837647427]"
2731,2731,3116447575888400,3116447589263800,3116447590980700,1.7169,3116447589263800,3116447590980700,1.7169,True,,,IDLE,IDLE,16998,3116447.5811648,3116447581164800,8.268299978226423,16998,0,2.0,55.7716,"[-5.567959243339758, -5.641696376260905, -9.040254088881815]","[2.80291419851425, -0.6773700184962202, 0.7330547640683337]","[1.5226666666666764, -76.70615505499975, 20.03153546064756, 3.1934627505705806, -0.06888644986586392, 0.7254738941827281]","[1.5226666666666757, -3.927155431460733, 4.839024717819932, 1.1170393954846989, -0.0634619298655847, 0.7254697671893104]"
2732,2732,3116447625888400,3116447629435400,3116447631151800,1.7164,3116447629435400,3116447631151800,1.7164,True,,,IDLE,IDLE,17003,3116447.6210091,3116447621009100,8.51129973307252,17003,0,1.7169,40.1711,"[-3.694863354249538, -6.108378530194164, -8.562185524734087]","[2.21991075607319, -0.740413918574008, 0.753868028194153]","[2.05600000000001, -76.51614243072531, 18.71565749426355, 3.1934627505705806, 0.23866157551886746, 0.7497614332012715]","[2.056000000000009, -3.73711696886825, 3.5231451185005547, 1.1170392185223061, 0.24408642961908297, 0.749757306707609]"
2733,2733,3116447675888400,3116447685396700,3116447687139100,1.7424,3116447685396700,3116447687139100,1.7424,True,,,IDLE,IDLE,17010,3116447.6770924,3116447677092400,8.401900064200163,17010,0,1.7164,55.9873,"[-3.5823799541990256, -5.931511228299804, -7.739940460425922]","[1.7643299243468153, -0.48552729605800005, 0.8511510609401216]","[1.878222222222232, -76.32612980645088, 18.71565749426355, 3.395051169641877, 0.002086171376766406, 0.8469115892754455]","[1.878222222222228, -3.547136613091112, 3.5231531816155996, 1.318628859190846, 0.007510975300856664, 0.8469074625775096]"
2734,2734,3116447725888400,3116447732859600,3116447734622000,1.7624,3116447732859600,3116447734622000,1.7624,True,,,IDLE,IDLE,17016,3116447.7251419,3116447725141900,7.823300082236528,17016,0,1.7424,47.4829,"[-3.9055549175896673, -4.567157113943571, -8.07726213629123]","[2.028243380226537, -0.6486238921623787, 0.753776733986101]","[1.1671111111111208, -76.32612980645088, 18.81687887629309, 3.1934627505705806, 0.12037387344781694, 0.7497614332012715]","[1.1671111111111163, -3.5471191407542477, 3.624381296691011, 1.1170413374716275, 0.1257984387666124, 0.7497573061513968]"
2735,2735,3116447775888400,3116447789393900,3116447791226100,1.8322,3116447789393900,3116447791226100,1.8322,True,,,IDLE,IDLE,17023,3116447.7810463,3116447781046300,8.438999764621258,17023,0,1.7624,56.6041,"[-3.0677185841539996, -5.376048435034473, -8.7007458030959]","[1.56759482800693, -0.48998827027243286, 0.8015581895378199]","[1.700444444444454, -76.8961676792742, 18.61443611223401, 3.395051169641877, 0.07305879261939673, 0.7983365112383585]","[1.7004444444444493, -4.1171327741929815, 3.4219142932473243, 1.3186265262183299, 0.07848421734672695, 0.7983323854610943]"
2736,2736,3116447825888400,3116447836882200,3116447838413000,1.5308,3116447836882200,3116447838413000,1.5308,True,,,IDLE,IDLE,17029,3116447.8290383,3116447829038300,7.955899927765131,17029,0,1.8322,47.1869,"[-3.971077355795932, -5.137597411048269, -7.918387400167864]","[1.7468361726361417, -0.5581406767209806, 0.7046528592418678]","[1.5226666666666764, -76.32612980645088, 18.918100258322628, 3.2942569601062286, 0.025743711790976516, 0.7011863551641846]","[1.5226666666666766, -3.5471126600350544, 3.7255719926186437, 1.2178314168234081, 0.03116908874476173, 0.7011822293094939]"
2737,2737,3116447875888400,3116447876839400,3116447878559400,1.72,3116447876839400,3116447878559400,1.72,True,,,IDLE,IDLE,17034,3116447.8690524,3116447869052400,7.886600214987993,17034,0,1.5308,40.1464,"[-3.085945674400607, -4.292478654896771, -8.170125108275101]","[2.0500709956939147, -0.568608034637484, 0.7303455537477681]","[1.1671111111111208, -76.51614243072531, 18.41199334817493, 3.0422714362671077, 0.14403141386202706, 0.7254738941827281]","[1.167111111111121, -3.737125284309485, 3.219465082470947, 0.9658458929842872, 0.14945679081581226, 0.7254697683280374]"
2738,2738,3116447925888400,3116447933171700,3116447935017500,1.8458,3116447933171700,3116447935017500,1.8458,True,,,IDLE,IDLE,17041,3116447.9250321,3116447925032100,8.442800026386976,17041,0,1.72,56.4581,"[-3.397698660098792, -6.114929279134276, -8.247876859615902]","[2.303472170345994, -0.5854975367081736, 0.8043086479302978]","[2.05600000000001, -76.51614243072531, 18.61443611223401, 3.143065645802756, 0.12037387344781694, 0.7983365112383585]","[2.0560000000000067, -3.737133364384249, 3.4219159266048393, 1.066641179200635, 0.1257989636458474, 0.7983323849557146]"
2739,2739,3116447975888400,3116447988974200,3116447990621200,1.647,3116447988974200,3116447990621200,1.647,True,,,IDLE,IDLE,17048,3116447.9811019,3116447981101900,7.975200191140175,17048,0,1.8458,55.6037,"[-3.4123656475156774, -3.887505208298058, -7.6830174298128275]","[1.9419961297588146, -0.655582088637858, 0.6318409632848461]","[0.989333333333343, -76.13611718217643, 18.41199334817493, 2.9918743314992837, 0.19134649469044723, 0.6283237381085541]","[0.98933333333334, -3.3571081158353735, 3.2194731625457607, 0.9154498648971625, 0.19677158488847768, 0.6283196118259102]"
2740,2740,3116448025888400,3116448036771700,3116448037954700,1.183,3116448036771700,3116448037954700,1.183,True,,,IDLE,IDLE,17054,3116448.0289904,3116448028990400,7.903499994426966,17054,0,1.647,47.3335,"[-4.876975664664505, -6.26749438690493, -9.424349861486446]","[3.650157900487689, -0.7405722500186759, 0.8338152531854829]","[1.878222222222232, -76.8961676792742, 19.626649932529403, 2.8910801219636353, 0.07305879261939673, 0.822624050256902]","[1.8782222222222282, -4.1171666925865225, 4.434137826553599, 0.8146567321832547, 0.07848359649103712, 0.8226199235519295]"
2741,2741,3116448075888400,3116448084992700,3116448086090100,1.0974,3116448084992700,3116448086090100,1.0974,True,,,IDLE,IDLE,17060,3116448.076763,3116448076763000,8.257200010120869,17060,0,1.183,48.1354,"[-3.1692274967619802, -4.444756555985769, -8.31061925398997]","[1.5495756335385167, -0.456346856471474, 0.8017823579745983]","[1.1671111111111208, -76.70615505499975, 18.61443611223401, 3.3446540648740526, 0.025743711790976516, 0.7983365112383585]","[1.1671111111111183, -3.9271543542160856, 3.421924292162263, 1.2682306727270989, 0.031168229713142096, 0.7983323841096449]"
2742,2742,3116448125888400,3116448132765000,3116448133960900,1.1959,3116448132765000,3116448133960900,1.1959,True,,,IDLE,IDLE,17066,3116448.1248737,3116448124873700,7.956000044941902,17066,0,1.0974,47.8708,"[-4.491036255423096, -5.380500561702086, -9.5223586134987]","[3.1478726913132604, -0.8288949907002795, 0.7576333305733984]","[1.5226666666666764, -76.8961676792742, 19.322985786440785, 2.9414772267314597, 0.21500403510465738, 0.7497614332012715]","[1.5226666666666724, -4.117165379137447, 4.130496572398593, 0.865056888088013, 0.22042802814758738, 0.749757305305327]"
2743,2743,3116448175888400,3116448189000000,3116448190037600,1.0376,3116448189000000,3116448190037600,1.0376,True,,,IDLE,IDLE,17073,3116448.1808946,3116448180894600,8.134799543768167,17073,0,1.1959,56.0767,"[-3.7066633655878656, -5.743310837478624, -9.394166317058833]","[1.5261672602145506, -0.6409425524080753, 0.727073566588806]","[1.878222222222232, -77.08618030354864, 19.019321640352167, 3.4958453791775255, 0.14403141386202706, 0.7254738941827281]","[1.8782222222222307, -4.307195189843981, 3.826825407359321, 1.4194241455484717, 0.14945593145972738, 0.7254697670624636]"
2744,2744,3116448225888400,3116448236918800,3116448237964100,1.0453,3116448236918800,3116448237964100,1.0453,True,,,IDLE,IDLE,17079,3116448.2288724,3116448228872400,8.095400407910347,17079,0,1.0376,47.9265,"[-3.366842143310801, -5.698596343035486, -8.44520171004514]","[2.167282859826763, -0.5094168917675516, 0.7557669037292563]","[1.878222222222232, -76.70615505499975, 18.71565749426355, 3.143065645802756, 0.04940125220518662, 0.7497614332012715]","[1.87822222222223, -3.92716322436641, 3.5231545443415655, 1.0666433701871019, 0.05482577268728007, 0.7497573062205148]"
2745,2745,3116448275888400,3116448276983700,3116448277998200,1.0145,3116448276983700,3116448277998200,1.0145,True,,,IDLE,IDLE,17084,3116448.2688544,3116448268854400,8.16919980570674,17084,0,1.0453,40.0341,"[-4.150351498717807, -4.325467747429718, -8.548093838204144]","[3.122922038930351, -0.6915152146325723, 0.7587966513861972]","[0.989333333333343, -76.51614243072531, 19.019321640352167, 2.790285912427987, 0.12037387344781694, 0.7497614332012715]","[0.989333333333345, -3.7371425208599476, 3.8268106111981464, 0.7138625598495709, 0.1257986798269366, 0.7497573066372192]"
2746,2746,3116448325888400,3116448333145200,3116448334896900,1.7517,3116448333145200,3116448334896900,1.7517,True,,,IDLE,IDLE,17091,3116448.3251823,3116448325182300,8.173000067472458,17091,0,1.0145,56.8987,"[-5.179116713355332, -5.910319204651595, -7.995642625890166]","[2.5941617580192187, -0.505203747964338, 0.5878994573650747]","[1.878222222222232, -76.32612980645088, 19.727871314558943, 3.0422714362671077, -0.18717415193691445, 0.5797486600714671]","[1.8782222222222298, -3.5471548759268074, 4.535361059361154, 0.9658482681734877, -0.18174882052121044, 0.5797445342957557]"
2747,2747,3116448375888400,3116448381105300,3116448382377400,1.2721,3116448381105300,3116448382377400,1.2721,True,,,IDLE,IDLE,17097,3116448.3729267,3116448372926700,8.209300227463245,17097,0,1.7517,47.4805,"[-3.0404561229949083, -5.841723882952325, -8.072668515333106]","[2.158122892888513, -0.3250570818084518, 0.7088686447316118]","[2.05600000000001, -76.70615505499975, 18.61443611223401, 3.0422714362671077, -0.09254399028007403, 0.7011863551641846]","[2.0560000000000063, -3.927187127307718, 3.421932859868793, 0.9658493077934533, -0.08711894769823911, 0.7011822288252243]"
2748,2748,3116448425888400,3116448436862600,3116448437922800,1.0602,3116448436862600,3116448437922800,1.0602,True,,,IDLE,IDLE,17104,3116448.4289867,3116448428986700,7.9204002395272255,17104,0,1.2721,55.5454,"[-5.281394836061866, -5.049684464465616, -9.31607550703519]","[2.594993109425581, -0.6641352106336037, 0.8050167246800816]","[1.1671111111111208, -76.8961676792742, 19.93031407861802, 3.2942569601062286, -0.04522890945165381, 0.7983365112383585]","[1.1671111111111165, -4.117190881431796, 4.737801956102986, 1.2178337151013836, -0.03980386942977429, 0.7983323847514412]"
2749,2749,3116448475888400,3116448476965600,3116448478114300,1.1487,3116448476965600,3116448478114300,1.1487,True,,,IDLE,IDLE,17109,3116448.4688982,3116448468898200,8.105000015348196,17109,0,1.0602,40.1915,"[-4.630582450684274, -5.375395023938425, -9.777504087445749]","[2.9370610547036797, -0.7734230375887784, 0.7328207153040006]","[1.5226666666666764, -77.08618030354864, 19.525428550499864, 3.0422714362671077, 0.14403141386202706, 0.7254738941827281]","[1.5226666666666728, -4.307187396937522, 4.332924524600633, 0.9658491231676654, 0.14945593097791193, 0.7254697670498025]"
2750,2750,3116448525888400,3116448532886500,3116448534142700,1.2562,3116448532886500,3116448534142700,1.2562,True,,,IDLE,IDLE,17116,3116448.5252332,3116448525233200,7.711800280958414,17116,0,1.1487,56.0284,"[-3.401105048792497, -5.158595103500866, -9.320169469826105]","[2.3540696149667113, -0.4227472464736933, 0.8060812082156477]","[1.5226666666666764, -77.27619292782308, 19.019321640352167, 3.143065645802756, -0.04522890945165381, 0.7983365112383585]","[1.5226666666666735, -4.497158309912862, 3.8268001085365295, 1.066640999589874, -0.039803771961893636, 0.7983323850204798]"
